genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,artist_encoded,song_length,genre_encoded
Pop,Carrie Underwood,Church Bells,67citk3uzWs5qbaIVKTeg8,66,0.226,0.575,193333,0.844,0.0,3,0.0538,-1.772,0,0.0633,87.007,4.0,0.542,2172,348.028,17
Movie,Mike Douglas,What Kind of Fool am I?,59SBRBynQtl8gaXONWDZ4r,0,0.975,0.336,140893,0.13,0.000854,0,0.0995,-12.92,1,0.031,96.759,4.0,0.147,8631,387.036,15
Blues,Delbert McClinton,Lone Star Blues,7qAXFSkUUCjKZCRZfIk9FK,23,0.501,0.41,237333,0.872,1.66e-06,7,0.289,-3.484,1,0.0916,179.287,4.0,0.873,3234,717.148,3
Rock,Queen,Death On Two Legs (Dedicated To...) - Remastered 2011,4J0kN8QS2esY6cWBsFjtW9,59,0.345,0.398,223173,0.699,4.88e-05,2,0.187,-6.131,1,0.0517,124.758,4.0,0.494,10171,499.032,22
Soul,Babyface,What If - Urban Mix,4AFhkn04YASMuvUxVMJKmW,46,0.212,0.745,246178,0.451,0.0,11,0.0975,-6.314,0,0.112,143.908,4.0,0.481,1081,575.632,24
Classical,Giuseppe Verdi,"Macbeth, Act III: Tre volte miagola (Live)",6fxun4WB7MgJ2X5DsSgz3p,0,0.928,0.422,73893,0.182,0.000153,4,0.672,-18.449,0,0.0705,80.463,4.0,0.179,4736,321.852,6
Comedy,Stephen Lynch,Mothers Day - bonus live version,5d0ugENrXUE9hOii2N3QOk,27,0.781,0.587,67133,0.368,0.000123,2,0.658,-15.369,1,0.441,119.846,3.0,0.556,11744,359.538,7
Rap,Lil Dicky,Freaky Friday (feat. Chris Brown),10Igtw8bSDyyFs7KIsKngZ,82,0.147,0.755,216632,0.599,0.0,8,0.109,-5.042,1,0.224,133.123,4.0,0.755,7521,532.492,19
Ska,Los Caligaris,Kilómetros - En Vivo,6Cqxghbtzx0DdnQYnMwpEw,56,0.0169,0.395,304987,0.794,3.5e-05,7,0.97,-9.272,1,0.0827,159.489,4.0,0.442,7731,637.956,23
Rap,Kevin Gates,Out the Mud,2UyQQjPjq4nA7mYivEkzRx,62,0.0402,0.854,241187,0.709,0.0,10,0.0901,-5.214,0,0.105,129.929,4.0,0.403,6905,519.716,19
Hip-Hop,Reo Cragun,On My Way,6TC0snyor5XOJzP6dGxRkn,56,0.5,0.652,202871,0.456,0.0,1,0.0979,-8.815,1,0.16,130.05,4.0,0.346,10450,520.2,12
Anime,GARNiDELiA,Gravity,34zImF60sVrDdKWThtw6aH,19,0.013,0.225,234720,0.912,5.83e-06,11,0.318,-2.714,0,0.105,77.974,4.0,0.582,4479,311.896,2
Opera,Georges Bizet,Carmen Suite No. 2: La Garde montante. Allegro (Act I),0OOFyyJAfotFmQaG8dCLc4,14,0.758,0.526,225960,0.321,0.236,2,0.0895,-15.424,0,0.0467,118.246,4.0,0.309,4645,472.984,16
Blues,Etta James,God's Song (That's Why I Love Mankind),0QO05NxnkYsuEYngfUuRwH,29,0.792,0.443,217440,0.459,0.000193,10,0.125,-7.199,0,0.0474,176.105,3.0,0.552,3999,528.3149999999999,3
Children's Music,The Struts,Ballroom Blitz,0NRdZwAM8JSoStfYrb813s,49,0.0106,0.703,249853,0.838,0.000237,8,0.103,-5.882,1,0.0328,110.061,4.0,0.484,12962,440.244,5
Jazz,Keith Jarrett,"Köln, January 24, 1975, Pt. II A - Live",3hrt1fLgEZIZPONUbcDY0c,38,0.856,0.32,894733,0.242,0.746,4,0.114,-17.111,0,0.0485,112.599,4.0,0.0399,6825,450.396,14
Soundtrack,John Murphy,Frank's Death - Soldiers (Requiem in D Minor),0NlL8qhMlJwuxKlgYM3a85,30,0.694,0.0637,161505,0.105,0.937,2,0.18,-13.476,0,0.0416,67.48,3.0,0.0307,6292,202.44,25
Ska,Los Fabulosos Cadillacs,Juan,1DJKppHlUlolnZzMmNWHXs,37,0.00243,0.509,154667,0.925,0.019,4,0.279,-5.22,1,0.0344,134.957,4.0,0.61,7742,539.828,23
Jazz,Slave,Son Of Slide,2XGLdVl7lGeq8ksM6Al7jT,39,0.00384,0.687,326240,0.714,0.544,2,0.0845,-10.626,1,0.0316,115.542,4.0,0.962,11433,462.168,14
Anime,Kalafina,Ring Your Bell,0Y3cpbyPkRUjN7uwEMxS33,27,0.00226,0.149,316480,0.937,0.0304,11,0.318,-4.721,1,0.311,167.725,4.0,0.264,6709,670.9,2
Reggaeton,Trebol Clan,En Lo Oscuro (feat. DJ Joe),0A2PKTPaEO9IJranrqGnjE,39,0.171,0.697,222891,0.846,0.0,10,0.889,-4.214,0,0.14,172.108,4.0,0.899,13413,688.432,21
Classical,Scott Joplin,The Entertainer,6DWIm1TfM9WiCNQeLbbAsd,49,0.993,0.489,233600,0.147,0.856,5,0.0981,-24.483,1,0.0701,160.274,4.0,0.79,11097,641.096,6
Children's Music,The Offspring,All I Want,717oSBYrcR8awQgUsmyE32,59,0.00967,0.209,114667,0.974,0.0,6,0.396,-3.321,0,0.136,172.891,4.0,0.583,12797,691.564,5
Comedy,Comedian Bob Marley,Momma's Nighty,2AvAdGl95WtDoSQmgpeGNj,14,0.869,0.647,32293,0.45,0.0,2,0.69,-19.518,1,0.949,74.776,4.0,0.435,2664,299.104,7
R&B,Kota the Friend,Nose Bleeds,4RcHWKuRLtEm1OnxFA2r3E,47,0.881,0.663,212000,0.557,0.0,2,0.131,-10.192,0,0.252,120.053,4.0,0.538,7082,480.212,18
Movie,Brad Kane,One Jump Ahead,4wN8Ov3kPZdkJ8XcYxYUGz,56,0.49,0.516,142440,0.335,0.0,7,0.733,-16.322,1,0.153,122.671,4.0,0.598,1746,490.684,15
Reggaeton,Calle 13,Querido Fbi,50BSpOrev8CMH5Bjb0QGlp,28,0.0846,0.779,200853,0.687,0.0,10,0.166,-7.732,0,0.247,90.27,4.0,0.617,2045,361.08,21
Children's Music,Hiss Golden Messenger,"Caledonia, My Love",7cgka1GOkbcvNqQYrs2FwE,62,0.842,0.555,180373,0.144,0.000281,5,0.0953,-16.868,1,0.0474,117.462,3.0,0.198,5268,352.386,5
Ska,Against All Authority,Watered Down & Passive,5lR2SGlZXSXCA7kz2smbgL,15,0.00918,0.412,119107,0.922,0.0499,2,0.213,-3.994,1,0.0425,175.814,4.0,0.903,286,703.256,23
Comedy,Doug Stanhope,Born a Woman,3poRPUI0rl2hpCfIqZJs6x,25,0.827,0.647,219975,0.436,0.0,3,0.73,-11.579,0,0.94,50.874,4.0,0.561,3506,203.496,7
Comedy,Richard Pryor,"White and Black People - Live at The John F. Kennedy Center For The Performing Arts, Washington, DC, 9/3/78 and City Center Of Music And Drama, New York, NY, 9/19/78 (Remastered Version)",1wSvuAaYncEHEaY2HwhJNc,16,0.82,0.342,478867,0.99,7.82e-06,1,0.678,-13.496,1,0.785,90.592,3.0,0.0308,10511,271.776,7
Children's Music,Music Together,The Riddle Song,6gWHr1lxPsL7XN31PervVb,28,0.96,0.571,127947,0.172,0.02,5,0.113,-16.045,1,0.0326,80.253,4.0,0.392,8938,321.012,4
